Memory (MB),CPU Usage (%),CPU Time
Memory: 82 MB, CPU Usage: 45.6%, CPU Time: 04:50
Memory: 82 MB, CPU Usage: 45.6%, CPU Time: 04:51
Memory: 82 MB, CPU Usage: 45.6%, CPU Time: 04:52
Memory: 82 MB, CPU Usage: 45.6%, CPU Time: 04:53
Memory: 82 MB, CPU Usage: 45.6%, CPU Time: 04:54
Memory: 82 MB, CPU Usage: 45.7%, CPU Time: 04:55
Memory: 82 MB, CPU Usage: 45.7%, CPU Time: 04:56
Memory: 82 MB, CPU Usage: 45.7%, CPU Time: 04:57
Memory: 82 MB, CPU Usage: 45.7%, CPU Time: 04:58
Memory: 82 MB, CPU Usage: 45.7%, CPU Time: 04:59
Memory: 82 MB, CPU Usage: 45.7%, CPU Time: 05:00
Memory: 82 MB, CPU Usage: 45.7%, CPU Time: 05:01
Memory: 82 MB, CPU Usage: 45.8%, CPU Time: 05:02
Memory: 80 MB, CPU Usage: 45.8%, CPU Time: 05:03
Memory: 82 MB, CPU Usage: 45.8%, CPU Time: 05:04
Memory: 82 MB, CPU Usage: 45.8%, CPU Time: 05:06
Memory: 82 MB, CPU Usage: 45.8%, CPU Time: 05:07
Memory: 82 MB, CPU Usage: 45.8%, CPU Time: 05:08
Memory: 82 MB, CPU Usage: 45.8%, CPU Time: 05:09
Memory: 82 MB, CPU Usage: 45.9%, CPU Time: 05:10
Memory: 82 MB, CPU Usage: 45.9%, CPU Time: 05:11
Memory: 82 MB, CPU Usage: 45.9%, CPU Time: 05:12
Memory: 82 MB, CPU Usage: 45.9%, CPU Time: 05:13
Memory: 81 MB, CPU Usage: 45.9%, CPU Time: 05:14
Memory: 81 MB, CPU Usage: 45.9%, CPU Time: 05:15
Memory: 81 MB, CPU Usage: 45.9%, CPU Time: 05:16
Memory: 82 MB, CPU Usage: 46.0%, CPU Time: 05:17
Memory: 81 MB, CPU Usage: 46.0%, CPU Time: 05:18
Memory: 82 MB, CPU Usage: 46.0%, CPU Time: 05:19
Memory: 82 MB, CPU Usage: 46.0%, CPU Time: 05:20
Memory: 82 MB, CPU Usage: 46.0%, CPU Time: 05:21
Memory: 82 MB, CPU Usage: 46.0%, CPU Time: 05:22
Memory: 81 MB, CPU Usage: 46.0%, CPU Time: 05:23
Memory: 82 MB, CPU Usage: 46.0%, CPU Time: 05:24
Memory: 81 MB, CPU Usage: 46.1%, CPU Time: 05:25
Memory: 82 MB, CPU Usage: 46.1%, CPU Time: 05:26
Memory: 82 MB, CPU Usage: 46.1%, CPU Time: 05:27
Memory: 82 MB, CPU Usage: 46.1%, CPU Time: 05:28
Memory: 82 MB, CPU Usage: 46.1%, CPU Time: 05:29
Memory: 83 MB, CPU Usage: 46.1%, CPU Time: 05:30
Memory: 83 MB, CPU Usage: 46.1%, CPU Time: 05:31
Memory: 82 MB, CPU Usage: 46.1%, CPU Time: 05:32
Memory: 82 MB, CPU Usage: 46.1%, CPU Time: 05:34
Memory: 81 MB, CPU Usage: 46.2%, CPU Time: 05:35
Memory: 83 MB, CPU Usage: 46.2%, CPU Time: 05:36
Memory: 83 MB, CPU Usage: 46.2%, CPU Time: 05:37
Memory: 81 MB, CPU Usage: 46.2%, CPU Time: 05:38
Memory: 81 MB, CPU Usage: 46.2%, CPU Time: 05:39
Memory: 83 MB, CPU Usage: 46.2%, CPU Time: 05:40
Memory: 83 MB, CPU Usage: 46.3%, CPU Time: 05:41
Memory: 83 MB, CPU Usage: 46.3%, CPU Time: 05:42
Memory: 82 MB, CPU Usage: 46.3%, CPU Time: 05:43
Memory: 81 MB, CPU Usage: 46.3%, CPU Time: 05:44
Memory: 82 MB, CPU Usage: 46.3%, CPU Time: 05:45
Memory: 83 MB, CPU Usage: 46.3%, CPU Time: 05:46
Memory: 83 MB, CPU Usage: 46.3%, CPU Time: 05:47
Memory: 83 MB, CPU Usage: 46.3%, CPU Time: 05:48
Memory: 81 MB, CPU Usage: 46.3%, CPU Time: 05:49
Memory: 83 MB, CPU Usage: 46.4%, CPU Time: 05:50
Memory: 83 MB, CPU Usage: 46.4%, CPU Time: 05:51
Memory: 83 MB, CPU Usage: 46.4%, CPU Time: 05:52
Memory: 82 MB, CPU Usage: 46.4%, CPU Time: 05:53
Memory: 82 MB, CPU Usage: 46.4%, CPU Time: 05:54
Memory: 83 MB, CPU Usage: 46.4%, CPU Time: 05:55
Memory: 83 MB, CPU Usage: 46.4%, CPU Time: 05:56
Memory: 83 MB, CPU Usage: 46.5%, CPU Time: 05:57
Memory: 83 MB, CPU Usage: 46.5%, CPU Time: 05:58
Memory: 82 MB, CPU Usage: 46.5%, CPU Time: 05:59
Memory: 83 MB, CPU Usage: 46.5%, CPU Time: 06:01
Memory: 83 MB, CPU Usage: 46.5%, CPU Time: 06:02
Memory: 83 MB, CPU Usage: 46.5%, CPU Time: 06:03
Memory: 83 MB, CPU Usage: 46.5%, CPU Time: 06:04
Memory: 82 MB, CPU Usage: 46.5%, CPU Time: 06:05
Memory: 83 MB, CPU Usage: 46.5%, CPU Time: 06:06
Memory: 83 MB, CPU Usage: 46.6%, CPU Time: 06:07
Memory: 83 MB, CPU Usage: 46.6%, CPU Time: 06:08
Memory: 82 MB, CPU Usage: 46.6%, CPU Time: 06:09
Memory: 83 MB, CPU Usage: 46.6%, CPU Time: 06:10
Memory: 83 MB, CPU Usage: 46.6%, CPU Time: 06:11
Memory: 83 MB, CPU Usage: 46.6%, CPU Time: 06:12
Memory: 83 MB, CPU Usage: 46.6%, CPU Time: 06:13
Memory: 83 MB, CPU Usage: 46.6%, CPU Time: 06:14
Memory: 83 MB, CPU Usage: 46.6%, CPU Time: 06:15
Memory: 82 MB, CPU Usage: 46.7%, CPU Time: 06:16
Memory: 83 MB, CPU Usage: 46.7%, CPU Time: 06:17
Memory: 82 MB, CPU Usage: 46.7%, CPU Time: 06:18
Memory: 83 MB, CPU Usage: 46.7%, CPU Time: 06:19
Memory: 83 MB, CPU Usage: 46.7%, CPU Time: 06:20
Memory: 83 MB, CPU Usage: 46.7%, CPU Time: 06:21
Memory: 84 MB, CPU Usage: 46.7%, CPU Time: 06:22
Memory: 84 MB, CPU Usage: 46.7%, CPU Time: 06:23
Memory: 82 MB, CPU Usage: 46.7%, CPU Time: 06:24
Memory: 82 MB, CPU Usage: 46.7%, CPU Time: 06:25
Memory: 82 MB, CPU Usage: 46.8%, CPU Time: 06:26
Memory: 84 MB, CPU Usage: 46.8%, CPU Time: 06:27
Memory: 84 MB, CPU Usage: 46.8%, CPU Time: 06:29
Memory: 84 MB, CPU Usage: 46.8%, CPU Time: 06:30
Memory: 84 MB, CPU Usage: 46.8%, CPU Time: 06:31
Memory: 84 MB, CPU Usage: 46.8%, CPU Time: 06:32
Memory: 83 MB, CPU Usage: 46.8%, CPU Time: 06:33
Memory: 82 MB, CPU Usage: 46.8%, CPU Time: 06:34
Memory: 82 MB, CPU Usage: 46.8%, CPU Time: 06:35
Memory: 84 MB, CPU Usage: 46.8%, CPU Time: 06:36
Memory: 84 MB, CPU Usage: 46.8%, CPU Time: 06:37
Memory: 84 MB, CPU Usage: 46.8%, CPU Time: 06:38
Memory: 84 MB, CPU Usage: 46.8%, CPU Time: 06:39
Memory: 84 MB, CPU Usage: 46.9%, CPU Time: 06:40
Memory: 82 MB, CPU Usage: 46.9%, CPU Time: 06:41
Memory: 83 MB, CPU Usage: 46.9%, CPU Time: 06:42
Memory: 83 MB, CPU Usage: 46.9%, CPU Time: 06:43
Memory: 84 MB, CPU Usage: 46.9%, CPU Time: 06:44
Memory: 84 MB, CPU Usage: 46.9%, CPU Time: 06:45
Memory: 84 MB, CPU Usage: 46.9%, CPU Time: 06:46
Memory: 84 MB, CPU Usage: 46.9%, CPU Time: 06:47
Memory: 83 MB, CPU Usage: 46.9%, CPU Time: 06:48
Memory: 82 MB, CPU Usage: 46.9%, CPU Time: 06:49
Memory: 82 MB, CPU Usage: 46.9%, CPU Time: 06:50
Memory: 83 MB, CPU Usage: 46.9%, CPU Time: 06:51
Memory: 83 MB, CPU Usage: 46.9%, CPU Time: 06:52
Memory: 84 MB, CPU Usage: 46.9%, CPU Time: 06:53
Memory: 84 MB, CPU Usage: 47.0%, CPU Time: 06:54
Memory: 82 MB, CPU Usage: 47.0%, CPU Time: 06:56
Memory: 83 MB, CPU Usage: 47.0%, CPU Time: 06:57
Memory: 82 MB, CPU Usage: 47.0%, CPU Time: 06:58
Memory: 84 MB, CPU Usage: 47.0%, CPU Time: 06:59
Memory: 84 MB, CPU Usage: 47.0%, CPU Time: 07:00
Memory: 84 MB, CPU Usage: 47.0%, CPU Time: 07:01
Memory: 84 MB, CPU Usage: 47.0%, CPU Time: 07:02
Memory: 84 MB, CPU Usage: 47.0%, CPU Time: 07:03
Memory: 84 MB, CPU Usage: 47.0%, CPU Time: 07:04
Memory: 83 MB, CPU Usage: 47.0%, CPU Time: 07:05
Memory: 82 MB, CPU Usage: 47.0%, CPU Time: 07:06
Memory: 82 MB, CPU Usage: 47.0%, CPU Time: 07:07
Memory: 83 MB, CPU Usage: 47.1%, CPU Time: 07:08
Memory: 83 MB, CPU Usage: 47.1%, CPU Time: 07:09
Memory: 82 MB, CPU Usage: 47.1%, CPU Time: 07:10
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:11
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:12
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:13
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:14
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:15
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:16
Memory: 83 MB, CPU Usage: 47.1%, CPU Time: 07:17
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:18
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:19
Memory: 83 MB, CPU Usage: 47.1%, CPU Time: 07:20
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:21
Memory: 83 MB, CPU Usage: 47.1%, CPU Time: 07:22
Memory: 82 MB, CPU Usage: 47.1%, CPU Time: 07:24
Memory: 84 MB, CPU Usage: 47.1%, CPU Time: 07:25
Memory: 85 MB, CPU Usage: 47.2%, CPU Time: 07:26
Memory: 85 MB, CPU Usage: 47.2%, CPU Time: 07:27
